Gene	Category	Number of Datasets Detected In	Percent of Datasets Detected in 	All Average TPM 	Tau	NZ Average TPM	NZ Minimum TPM	NZ Standard Deviation 	Highest Maximum TPM	Highest Dataset with Maximum TPM	Highest Median of that Dataset	Highest Difference Between Gene Maximum and Dataset Median
AT5G04070	Canonical	5670	99.95	6.4247	0.55	6.4281	0.0972	3.2352	68.8922	SRR5238816	0.1146	68.7776
AT5G04080	Other	5615	98.98	32.5829	0.5535	32.9195	0.0466	37.6039	897.4923	SRR3664384	6.515	890.9772
AT5G04090	Canonical	5673	100	18.6005	0.4274	18.6005	0.0616	10.1344	145.4128	ERR1698207	7.4333	137.9795
AT5G04110	Canonical	5672	99.98	7.2368	0.5254	7.2381	0.1161	4.44	68.9442	SRR5222801	5.9773	62.9669
AT5G04120	Canonical	2803	49.41	10.458	0.8938	21.166	0.0074	69.9851	1304.0994	SRR3311809	5.4785	1298.6209
AT5G04130	Canonical	5673	100	13.0467	0.4274	13.0467	0.0512	7.8145	75.3525	SRR5755227	4.6231	70.7294
AT5G04140	Canonical	5618	99.03	228.8292	0.3918	231.0694	0.0046	201.9715	1722.3666	SRR1773581	9.14	1713.2267
AT5G04150	Unobserved	4532	79.89	8.7817	0.7977	10.9926	0.0239	26.0376	384.2779	SRR3463140	7.8336	376.4443
AT5G04160	Other	5673	100	19.318	0.4695	19.318	0.0265	12.8287	199.5658	SRR5229956	7.3554	192.2104
AT5G04170	Canonical	5673	100	53.699	0.3762	53.699	1.1774	31.0402	477.5752	SRR1763901	2.8069	474.7683
AT5G04180	Canonical	4630	81.61	6.8382	0.9419	8.3786	0.0219	90.2052	3127.8077	SRR3581852	0.7188	3127.0889
AT5G04190	Canonical	5145	90.69	8.0799	0.7046	8.909	0.0188	14.3744	149.2883	SRR3480184	6.1	143.1883
AT5G04200	Canonical	5477	96.55	25.267	0.6953	26.1712	0.0358	87.5538	2449.6131	SRR5452974	2.8935	2446.7196
AT5G04210	Unobserved	3817	67.28	0.4353	0.9218	0.6469	0.0185	1.0453	41.2071	ERR1698208	7.8572	33.3499
AT5G04220	Other	5660	99.77	8.3339	0.5959	8.353	0.0486	9.2511	118.5248	SRR1965002	3.6862	114.8385
AT5G04230	Canonical	5563	98.06	10.6198	0.5963	10.8298	0.0073	10.4346	152.7078	ERR377679	5.2296	147.4782
AT5G04240	Canonical	5673	100	14.8322	0.418	14.8322	0.009	7.869	93.5147	ERR1698199	6.792	86.7227
