Gene	Category	Number of Datasets Detected In	Percent of Datasets Detected in 	All Average TPM 	Tau	NZ Average TPM	NZ Minimum TPM	NZ Standard Deviation 	Highest Maximum TPM	Highest Dataset with Maximum TPM	Highest Median of that Dataset	Highest Difference Between Gene Maximum and Dataset Median
AT1G01010	Canonical	5665	99.86	12.5662	0.6156	12.5839	0.0162	17.2155	315.7775	SRR5826950	5.9741	309.8033
AT1G01020	Other	5669	99.93	13.7705	0.5233	13.7802	0.0574	9.5439	203.8469	SRR2828732	0.2315	203.6154
AT1G01030	Canonical	5500	96.95	4.7091	0.6867	4.8572	0.0206	5.3518	111.0907	SRR2850582	7.0684	104.0222
AT1G01040	Canonical	5673	100	15.8297	0.4535	15.8297	0.3572	10.3504	129.5016	ERR1698208	7.8572	121.6444
AT1G01050	Canonical	5673	100	69.2058	0.3352	69.2058	0.7849	31.1291	500.4623	DRR029380	6.4708	493.9915
AT1G01060	Canonical	5662	99.81	47.7535	0.6746	47.8463	0.0219	102.2139	2653.2137	DRR029380	6.4708	2646.743
AT1G01070	Canonical	5483	96.65	8.6955	0.6412	8.9969	0.0117	12.1032	160.3721	SRR2037360	6.1107	154.2614
AT1G01080	Canonical	5669	99.93	64.2558	0.3132	64.3011	0.1816	39.8376	267.5204	SRR4113360	5.3107	262.2098
AT1G01090	Canonical	5673	100	199.6643	0.3387	199.6643	0.4101	115.1728	2494.214	SRR2927333	3.323	2490.891
AT1G01100	Canonical	5673	100	460.2589	0.3523	460.2589	3.3331	444.2781	7890.0428	SRR1231507	0.7191	7889.3237
AT1G01110	Canonical	5641	99.44	5.6991	0.6475	5.7315	0.0167	6.326	92.8011	SRR5469591	2.1459	90.6553
AT1G01120	Canonical	5668	99.91	95.4205	0.4376	95.5047	0.0339	104.1377	1532.5063	SRR3290788	4.8136	1527.6926
AT1G01130	Canonical	5667	99.89	4.1579	0.6719	4.1623	0.0339	4.4298	77.0185	SRR2136682	7.9968	69.0217
AT1G01140	Canonical	5670	99.95	41.9948	0.493	42.017	0.0262	41.3153	707.4249	SRR1773585	6.5342	700.8907
AT1G01150	Other	3859	68.02	0.3483	0.9264	0.5121	0.0089	1.1994	14.8916	SRR3581698	10.3621	4.5295
AT1G01160	Canonical	5672	99.98	41.1221	0.3729	41.1294	0.5277	20.9446	318.7914	SRR1231506	1.6647	317.1267
AT1G01170	Canonical	5655	99.68	101.2583	0.3569	101.5806	0.1469	73.0845	793.0842	SRR5363479	0.9842	792.1
AT1G01180	Canonical	5641	99.44	17.6124	0.5406	17.7124	0.0163	15.9872	246.3378	SRR5167803	1.1211	245.2167
AT1G01190	Canonical	5402	95.22	9.4902	0.756	9.9663	0.0153	24.3617	398.4286	SRR1773563	9.9314	388.4971
AT1G01200	Canonical	5523	97.36	2.6353	0.6871	2.7069	0.0189	2.8443	29.5192	SRR2922629	22.2932	7.2261
AT1G01210	Canonical	5672	99.98	16.8307	0.4856	16.8337	0.0376	12.587	192.1555	SRR5227406	1.9665	190.189
AT1G01220	Canonical	5672	99.98	15.1984	0.3524	15.2011	0.2492	6.6033	61.7152	ERR1698209	6.5967	55.1185
AT1G01225	Canonical	5659	99.75	6.2045	0.5495	6.2199	0.0365	4.9246	51.1597	SRR2922671	6.7712	44.3885
AT1G01230	Unobserved	5672	99.98	32.0039	0.3176	32.0095	0.842	14.4028	144.6899	SRR3209573	3.0018	141.6881
AT1G01240	Unobserved	5673	100	29.0532	0.4884	29.0532	0.1118	25.8907	426.8254	SRR3581736	3.7344	423.091
AT1G01250	Other	5064	89.26	7.5899	0.7616	8.5026	0.0335	18.7271	498.8095	SRR5172165	2.1695	496.64
AT1G01260	Canonical	5673	100	18.9423	0.4145	18.9423	0.1768	11.4299	130.217	SRR1773568	8.999	121.218
AT1G01280	Canonical	815	14.37	3.0081	0.9834	20.9384	0.0126	111.6538	2180.7739	SRR3581857	6.9376	2173.8363
AT1G01290	Canonical	5670	99.95	14.0749	0.4128	14.0824	0.0552	6.4432	85.4504	ERR1698205	4.5515	80.8989
AT1G01300	Canonical	5673	100	97.3618	0.3976	97.3618	0.3933	78.1673	1307.4197	SRR3714286	3.9965	1303.4232
AT1G01305	Canonical	913	16.09	0.7456	0.9769	4.6327	0.0198	14.809	179.3724	SRR3581888	8.4986	170.8738
AT1G01310	Canonical	3580	63.11	4.5873	0.9536	7.2693	0.0127	74.9297	2053.9257	SRR3581850	0.9656	2052.9602
AT1G01320	Canonical	5673	100	86.9283	0.4138	86.9283	0.0074	69.7739	1085.5535	SRR2072718	1.0402	1084.5132
AT1G01335	Unobserved	64	1.13	0.016	0.9966	1.4223	0.1535	1.736	9.2174	SRR3724814	1.9	7.3174
AT1G01340	Canonical	5630	99.24	8.7002	0.7111	8.7666	0.0145	16.7818	297.5377	SRR1773563	9.9314	287.6063
AT1G01350	Canonical	5673	100	24.3529	0.3667	24.3529	0.7419	11.2948	139.8668	ERR1698205	4.5515	135.3154
AT1G01355	Unobserved	3858	68.01	0.6039	0.9113	0.8881	0.02	1.9805	33.6356	SRR5936241	8.3495	25.2861
AT1G01360	Canonical	5667	99.89	23.9315	0.4575	23.9568	0.1083	19.5846	254.2768	SRR1917193	7.5562	246.7206
AT1G01370	Canonical	5657	99.72	5.587	0.6523	5.6028	0.0171	8.622	65.265	ERR1588895	5.404	59.861
AT1G01380	Unobserved	5460	96.25	4.7503	0.7533	4.9356	0.0263	10.0698	168.2126	SRR3993762	9.5011	158.7115
AT1G01390	Canonical	5027	88.61	4.8945	0.7224	5.5234	0.012	7.9953	91.54	SRR3290779	4.4106	87.1294
AT1G01400	Canonical	565	9.96	0.1409	0.9885	1.4144	0.0081	4.0597	40.2847	SRR1791616	10.9004	29.3842
AT1G01410	Unobserved	169	2.98	0.009	0.9966	0.3009	0.0085	0.5165	5.4284	SRR2828728	5.3449	0.0836
AT1G01420	Canonical	5506	97.06	10.1336	0.5575	10.4409	0.0163	10.0217	93.7842	SRR3480146	5.5699	88.2143
AT1G01430	Canonical	5673	100	48.5734	0.3546	48.5734	0.0769	32.2922	299.4492	SRR3480146	5.5699	293.8794
AT1G01440	Canonical	5673	100	15.6297	0.3853	15.6297	0.2812	7.601	80.9946	SRR1773563	9.9314	71.0632
AT1G01450	Unobserved	5649	99.58	13.6338	0.4374	13.6917	0.0712	8.6926	84.6812	SRR3418014	5.9502	78.731
AT1G01453	Canonical	3447	60.76	1.4567	0.9065	2.3974	0.014	5.8046	167.35	SRR5238815	0.0487	167.3013
AT1G01460	Other	1436	25.31	0.5788	0.9846	2.2867	0.0033	17.8402	369.4157	SRR3581850	0.9656	368.4501
AT1G01470	Canonical	5663	99.82	165.3751	0.468	165.6671	0.0742	255.9509	4283.0552	SRR3724737	3.4243	4279.6309
AT1G01480	Other	5164	91.03	5.592	0.8609	6.1432	0.014	32.6108	917.1824	SRR2086497	3.9574	913.2249
AT1G01490	Canonical	5673	100	54.9564	0.422	54.9564	0.4503	44.4778	723.3933	ERR1698198	6.0933	717.3
AT1G01500	Canonical	5669	99.93	17.6926	0.5104	17.7051	0.1717	11.1776	288.1868	SRR3581852	0.7188	287.4679
AT1G01510	Canonical	5672	99.98	30.7035	0.4602	30.7089	0.7039	19.4389	468.1106	SRR2828729	2.0718	466.0388
AT1G01520	Unobserved	5508	97.09	5.0184	0.8229	5.1687	0.02	14.7362	447.436	SRR3453113	6.7433	440.6927
AT1G01530	Other	1971	34.74	0.2867	0.9731	0.8251	0.0121	4.519	94.514	SRR5229965	8.1628	86.3511
AT1G01540	Canonical	5672	99.98	51.576	0.2332	51.5851	0.698	22.4881	151.1673	SRR1947859	3.3071	147.8602
AT1G01550	Canonical	5673	100	157.0641	0.2519	157.0641	2.6012	86.7034	700.5582	SRR2086505	4.2462	696.312
AT1G01560	Canonical	5362	94.52	9.525	0.8142	10.0775	0.0111	38.1035	839.1991	SRR5909370	5.2741	833.925
AT1G01570	Canonical	5651	99.61	2.6479	0.779	2.6582	0.0316	4.4156	144.6878	SRR3581728	5.7676	138.9202
AT1G01580	Canonical	5410	95.36	17.0494	0.7983	17.8782	0.0102	61.6189	1117.9598	SRR4381923	10.8426	1107.1172
AT1G01590	Canonical	3928	69.24	0.7434	0.9306	1.0737	0.0033	3.5612	47.4833	SRR1917198	8.0243	39.459
AT1G01600	Canonical	5601	98.73	10.4037	0.7244	10.5375	0.0113	23.7633	704.8399	SRR3581688	4.9517	699.8882
AT1G01610	Canonical	5653	99.65	50.539	0.3565	50.7178	0.0145	31.3933	301.9656	SRR5238817	6.5346	295.4309
AT1G01620	Canonical	5673	100	511.851	0.3589	511.851	0.3719	554.0486	9313.8082	SRR3209572	3.0139	9310.7943
AT1G01630	Canonical	5672	99.98	50.7677	0.4409	50.7767	0.0541	29.4607	863.9749	SRR3581854	4.5495	859.4254
AT1G01640	Canonical	5616	99	10.7966	0.6487	10.9062	0.0526	18.7006	176.5324	SRR5487688	10.2641	166.2683
AT1G01650	Canonical	5673	100	22.3921	0.4069	22.3921	0.6593	14.533	150.6341	SRR3664382	5.8856	144.7485
AT1G01660	Unobserved	5542	97.69	2.1828	0.834	2.2344	0.0072	6.2607	182.3288	SRR5238815	0.0487	182.2801
AT1G01670	Unobserved	5573	98.24	1.9445	0.7652	1.9794	0.0062	2.1872	48.4338	ERR1698208	7.8572	40.5766
AT1G01680	Canonical	4859	85.65	4.0146	0.8898	4.6871	0.0119	24.7241	828.1317	SRR5197924	4.7392	823.3925
AT1G01690	Unobserved	5666	99.88	5.2814	0.6084	5.2879	0.0332	5.4467	54.7101	ERR1698209	6.5967	48.1134
AT1G01695	Other	5218	91.98	0.6602	0.886	0.7178	0.015	1.3017	35.3366	ERR1698200	9.2014	26.1352
AT1G01700	Other	5631	99.26	2.6885	0.7859	2.7085	0.018	6.5829	172.0643	ERR1698207	7.4333	164.631
AT1G01710	Canonical	5672	99.98	22.0321	0.2904	22.036	0.3979	8.4531	73.3606	SRR1231506	1.6647	71.6958
AT1G01715	Unobserved	5668	99.91	7.1765	0.589	7.1828	0.0435	6.4725	98.3847	ERR1698197	7.068	91.3167
AT1G01720	Canonical	5671	99.96	91.3257	0.5073	91.3579	0.4539	189.3098	2373.7358	SRR5469590	2.9558	2370.78
AT1G01725	Other	5665	99.86	16.9787	0.55	17.0027	0.1105	16.9764	360.1998	SRR3664387	4.49	355.7098
AT1G01730	Canonical	5673	100	40.4308	0.3883	40.4308	0.2594	24.7665	337.3874	SRR3664387	4.49	332.8974
AT1G01740	Canonical	5656	99.7	6.0109	0.6617	6.029	0.0349	6.6123	193.0613	SRR4024917	5.3537	187.7076
AT1G01750	Canonical	5652	99.63	17.5579	0.7093	17.6232	0.0773	43.1176	984.6422	SRR3664435	4.0543	980.5879
AT1G01760	Canonical	5659	99.75	4.4373	0.6766	4.4483	0.0626	4.5784	117.6733	ERR1698196	7.237	110.4363
AT1G01770	Canonical	5671	99.96	13.4758	0.5305	13.4805	0.0538	10.8599	203.6187	SRR3724806	2.142	201.4767
AT1G01780	Canonical	5667	99.89	22.4522	0.5324	22.476	0.0651	25.7164	445.3335	SRR3581684	1.098	444.2355
AT1G01790	Canonical	5672	99.98	41.0333	0.3705	41.0406	0.0286	30.7019	224.0801	SRR1773581	9.14	214.9401
AT1G01800	Canonical	5673	100	68.8047	0.2839	68.8047	1.3217	26.749	330.2143	SRR5469573	6.1379	324.0764
AT1G01810	Other	5553	97.88	3.133	0.7221	3.2007	0.0887	4.3565	66.924	SRR5227398	0.9474	65.9766
AT1G01820	Canonical	5673	100	53.6101	0.3151	53.6101	1.2752	27.1321	289.2226	SRR1947749	2.7504	286.4721
AT1G01830	Canonical	5672	99.98	12.9863	0.4337	12.9886	0.0183	7.9408	81.1427	SRR3956085	7.4405	73.7022
AT1G01840	Canonical	5622	99.1	3.9159	0.6681	3.9514	0.0541	3.7746	67.4693	SRR1231506	1.6647	65.8046
AT1G01860	Canonical	5656	99.7	11.5148	0.3946	11.5494	0.0304	6.1469	50.5124	SRR2970797	0.0566	50.4558
AT1G01880	Canonical	5660	99.77	2.3435	0.7065	2.3489	0.0123	2.3929	34.9624	ERR1698194	6.2788	28.6836
AT1G01900	Canonical	5641	99.44	7.781	0.7096	7.8252	0.0172	18.5675	495.2193	SRR5229950	7.3043	487.915
AT1G01910	Canonical	5673	100	36.9135	0.2289	36.9135	0.0724	12.8695	101.7499	SRR3581733	7.1191	94.6309
AT1G01920	Canonical	5670	99.95	13.0553	0.5087	13.0622	0.094	8.6247	153.2297	SRR1231506	1.6647	151.565
AT1G01930	Canonical	5672	99.98	11.6658	0.394	11.6679	0.1385	4.3151	58.4585	ERR1698197	7.068	51.3905
AT1G01940	Canonical	5670	99.95	17.2992	0.5397	17.3083	0.0241	16.1669	352.7482	SRR2033951	1.6073	351.1409
AT1G01950	Canonical	5671	99.96	11.6217	0.4107	11.6258	0.1633	5.8288	60.5848	SRR1231507	0.7191	59.8657
AT1G01960	Canonical	5672	99.98	37.5622	0.3325	37.5689	0.9985	19.2423	194.0995	SRR1773565	10.6749	183.4245
AT1G01970	Canonical	5666	99.88	30.1682	0.2899	30.2055	0.2935	15.8177	98.6314	SRR5112413	11.6576	86.9738
AT1G01980	Canonical	2434	42.9	4.5323	0.9735	10.5636	0.0063	106.7835	2733.6196	SRR3581684	1.098	2732.5216
AT1G01990	Other	5673	100	33.239	0.3207	33.239	1.2606	13.8635	158.7651	SRR5363479	0.9842	157.7809
AT1G02000	Canonical	5670	99.95	18.8562	0.6289	18.8662	0.0864	42.5173	1489.8355	SRR3581852	0.7188	1489.1167
AT1G02010	Canonical	5672	99.98	5.598	0.5963	5.599	0.0247	3.7422	80.6731	SRR3581686	0.918	79.7551
AT1G02020	Canonical	5672	99.98	13.3499	0.3925	13.3523	0.2654	6.1295	65.4386	SRR3714293	3.1278	62.3108
AT1G02030	Unobserved	5031	88.68	0.6773	0.8582	0.7638	0.008	1.1634	16.8941	SRR3664376	3.7569	13.1372
AT1G02040	Unobserved	2244	39.56	0.5891	0.9686	1.4892	0.0104	7.0013	149.7401	SRR3581686	0.918	148.8221
AT1G02050	Canonical	5664	99.84	19.6092	0.7136	19.6404	0.03	101.5457	3407.9485	SRR3581857	6.9376	3401.0109
AT1G02060	Canonical	5660	99.77	8.8856	0.469	8.906	0.042	6.0006	52.7377	ERR1441952	11.9936	40.7442
AT1G02065	Canonical	4191	73.88	5.9057	0.8556	7.994	0.0055	27.3192	441.3008	SRR1791621	8.4285	432.8722
AT1G02070	Canonical	4558	80.35	2.173	0.8838	2.7046	0.031	8.9671	232.7926	SRR5420083	6.0186	226.774
AT1G02080	Canonical	5673	100	27.1375	0.4097	27.1375	0.0597	16.4577	213.806	SRR1773565	10.6749	203.1311
AT1G02090	Canonical	5673	100	34.9245	0.4194	34.9245	0.7979	19.561	385.9321	SRR3928355	3.831	382.101
AT1G02100	Canonical	5673	100	30.4231	0.3599	30.4231	0.0601	15.3463	180.3525	SRR3724806	2.142	178.2105
AT1G02110	Canonical	5673	100	27.0922	0.4251	27.0922	0.0787	18.6129	233.0868	SRR1231506	1.6647	231.4221
AT1G02120	Canonical	5673	100	42.1387	0.3414	42.1387	0.8752	20.0667	254.5318	ERR1698199	6.792	247.7398
AT1G02130	Canonical	5673	100	47.7174	0.2498	47.7174	1.9985	16.4656	161.6082	SRR5167802	1.8288	159.7793
AT1G02140	Canonical	5673	100	176.285	0.381	176.285	2.3446	122.7169	3525.6879	SRR2828730	0.4495	3525.2384
AT1G02145	Canonical	5671	99.96	12.9434	0.4701	12.9479	0.3695	6.5769	119.4184	ERR1698209	6.5967	112.8216
AT1G02150	Canonical	5671	99.96	102.7892	0.2366	102.8255	0.6565	52.2241	342.9341	SRR5363479	0.9842	341.9498
AT1G02160	Canonical	5670	99.95	44.7289	0.3677	44.7525	0.6494	26.7533	333.1082	SRR5755225	4.5456	328.5626
AT1G02170	Canonical	5673	100	39.4048	0.4176	39.4048	0.7179	25.1474	440.3187	SRR3714289	3.4405	436.8783
AT1G02180	Canonical	5666	99.88	10.7463	0.6442	10.7596	0.0497	12.0892	488.7892	SRR1231506	1.6647	487.1245
AT1G02190	Canonical	4379	77.19	10.9516	0.8947	14.1879	0.0058	52.5345	544.9344	SRR3581727	9.1865	535.748
AT1G02205	Canonical	5609	98.87	58.3391	0.5876	59.0048	0.0127	115.0359	1271.0901	SRR3180080	3.9199	1267.1702
AT1G02210	Unobserved	23	0.41	0.0027	0.9989	0.656	0.1127	0.6368	3.1015	SRR2828728	5.3449	-2.2434
AT1G02220	Other	5474	96.49	15.6362	0.7001	16.2046	0.0143	33.734	530.8274	SRR1917203	7.1624	523.6651
AT1G02230	Unobserved	5375	94.75	2.9613	0.831	3.1255	0.0138	8.1921	212.176	SRR3311807	4.7917	207.3843
AT1G02250	Unobserved	3339	58.86	0.1924	0.9362	0.3269	0.0101	0.5022	8.4051	SRR5448374	6.943	1.4621
AT1G02260	Canonical	5673	100	15.371	0.4302	15.371	0.0439	9.3872	97.7773	SRR1231506	1.6647	96.1126
AT1G02270	Canonical	5673	100	18.2345	0.524	18.2345	0.3402	12.6977	380.3781	SRR5197924	4.7392	375.6389
AT1G02280	Canonical	5672	99.98	82.2914	0.3061	82.306	0.0353	53.7081	408.9718	SRR5227410	3.3675	405.6043
AT1G02290	Unobserved	5668	99.91	10.6671	0.4339	10.6765	0.1428	5.854	60.5557	ERR1698207	7.4333	53.1224
AT1G02300	Canonical	5601	98.73	23.2469	0.4637	23.5457	0.0112	21.1804	176.2753	SRR5197927	6.1119	170.1634
AT1G02305	Canonical	5673	100	83.9969	0.3381	83.9969	1.3673	63.3749	601.7736	SRR3581736	3.7344	598.0392
AT1G02310	Canonical	4843	85.37	2.9349	0.875	3.4379	0.0134	12.3229	400.2006	SRR2079798	2.2703	397.9303
AT1G02320	Unobserved	627	11.05	0.1765	0.9771	1.5973	0.1007	2.6733	42.7801	ERR1698203	5.5134	37.2666
AT1G02330	Canonical	5673	100	34.9087	0.3541	34.9087	0.0647	18.4211	207.776	SRR5239991	3.9493	203.8267
AT1G02335	Canonical	5493	96.83	23.0359	0.6651	23.7907	0.0202	52.8353	2221.9826	SRR3664390	3.4398	2218.5428
AT1G02340	Unobserved	5526	97.41	14.5536	0.716	14.9407	0.0198	37.4568	479.3428	SRR1947750	2.3191	477.0237
AT1G02350	Other	5638	99.38	6.3897	0.6113	6.4294	0.0854	6.0827	92.8049	SRR3480179	3.2762	89.5286
AT1G02360	Canonical	5095	89.81	27.2801	0.6867	30.3748	0.0189	69.7061	905.5289	SRR3667131	4.1715	901.3574
AT1G02370	Canonical	5668	99.91	10.8722	0.5793	10.8818	0.093	9.3715	219.2088	SRR5755226	4.8087	214.4001
AT1G02380	Unobserved	5665	99.86	3.9692	0.6244	3.9748	0.0669	3.5065	46.974	SRR5238815	0.0487	46.9253
AT1G02390	Canonical	5590	98.54	5.4921	0.7614	5.5736	0.0114	12.523	290.6881	SRR5469578	4.4898	286.1983
AT1G02400	Canonical	5589	98.52	11.6793	0.7199	11.8548	0.0106	28.8814	486.6231	SRR3499927	3.6297	482.9934
AT1G02405	Unobserved	4376	77.14	1.0131	0.8657	1.3134	0.019	2.0272	44.9727	SRR5229954	5.0967	39.876
AT1G02410	Canonical	5673	100	22.6688	0.3633	22.6688	0.1107	8.9114	126.881	SRR2828722	0.852	126.0291
AT1G02420	Canonical	5648	99.56	5.8395	0.5538	5.8653	0.0203	2.9156	59.2743	ERR1698199	6.792	52.4823
AT1G02430	Canonical	5664	99.84	4.5004	0.6865	4.5076	0.0347	4.9784	120.6368	ERR1698198	6.0933	114.5435
AT1G02440	Unobserved	4708	82.99	0.8682	0.8877	1.0461	0.0297	2.2322	49.9525	ERR1698207	7.4333	42.5192
AT1G02450	Canonical	4968	87.57	9.4263	0.7884	10.764	0.034	26.8464	574.8581	ERR1194865	2.8348	572.0233
AT1G02460	Canonical	5448	96.03	2.4888	0.7351	2.5916	0.0096	3.3457	43.1304	SRR3664387	4.49	38.6404
AT1G02470	Canonical	5497	96.9	4.503	0.8234	4.6471	0.0146	12.9809	311.7004	SRR3581854	4.5495	307.1509
AT1G02475	Canonical	5668	99.91	49.0556	0.345	49.0989	0.0306	34.6472	228.3895	SRR5112417	11.7212	216.6684
AT1G02490	Unobserved	3683	64.92	1.5277	0.8422	2.3531	0.0547	3.2985	55.8856	ERR1588801	7.6592	48.2264
AT1G02500	Canonical	5673	100	406.5623	0.3834	406.5623	1.1862	423.1675	10801.4857	SRR2131893	4.4654	10797.0203
AT1G02510	Unobserved	854	15.05	0.3749	0.9822	2.4904	0.0102	8.7824	153.5525	SRR3581857	6.9376	146.6148
AT1G02520	Canonical	5574	98.25	11.8218	0.8179	12.0318	0.0054	58.2455	2204.7486	SRR3664415	4.8187	2199.93
AT1G02530	Canonical	5060	89.19	1.202	0.9343	1.3476	0.0034	8.2339	173.9594	SRR4044745	7.542	166.4173
AT1G02540	Other	381	6.72	0.0428	0.9869	0.6371	0.0368	0.8545	7.1299	SRR5452982	5.71	1.4198
AT1G02550	Other	468	8.25	0.0884	0.9924	1.071	0.0127	4.2901	70.8355	SRR5479136	0.2168	70.6187
AT1G02560	Canonical	5673	100	207.0005	0.2088	207.0005	1.0807	106.128	659.9408	SRR2136678	4.9085	655.0323
AT1G02570	Unobserved	3282	57.85	2.1465	0.904	3.7103	0.0137	12.9764	346.9184	SRR5238815	0.0487	346.8697
AT1G02575	Other	2295	40.45	0.6155	0.947	1.5214	0.0197	4.3634	131.741	SRR5238815	0.0487	131.6923
AT1G02580	Unobserved	4045	71.3	0.3116	0.9392	0.437	0.0046	1.0559	22.7864	SRR5488391	6.7793	16.0071
AT1G02590	Other	218	3.84	0.0312	0.9969	0.8118	0.0356	4.4314	64.3126	SRR5514391	6.7977	57.5149
AT1G02610	Unobserved	5440	95.89	6.773	0.6801	7.0631	0.0183	9.9895	125.6143	SRR5167795	2.0685	123.5458
AT1G02620	Canonical	4415	77.82	2.5881	0.8799	3.3256	0.0123	9.7337	229.5894	SRR3724786	2.4523	227.1371
AT1G02630	Unobserved	4038	71.18	0.9523	0.8987	1.3378	0.012	3.1948	50.2916	ERR1698197	7.068	43.2236
AT1G02640	Canonical	5667	99.89	32.639	0.6225	32.6736	0.0125	60.2947	1357.7992	SRR3664389	3.384	1354.4152
AT1G02650	Other	5569	98.17	1.5853	0.8231	1.6149	0.0263	2.0574	102.0795	SRR5479136	0.2168	101.8627
AT1G02660	Canonical	5672	99.98	25.5986	0.6165	25.6032	0.1454	38.9994	935.4517	SRR5167795	2.0685	933.3832
AT1G02670	Other	5652	99.63	1.6563	0.8584	1.6624	0.0123	4.2633	235.0724	SRR3724806	2.142	232.9303
AT1G02680	Canonical	5672	99.98	16.3145	0.5067	16.3174	0.2739	11.431	249.0294	ERR1698209	6.5967	242.4327
AT1G02690	Canonical	5668	99.91	19.0661	0.5948	19.0829	0.0222	22.9675	543.6495	SRR5755227	4.6231	539.0264
AT1G02700	Canonical	5288	93.21	10.6994	0.8484	11.4783	0.0256	72.0598	1554.8546	SRR5363474	1.3473	1553.5073
AT1G02705	Unobserved	4919	86.71	1.6802	0.8436	1.9378	0.0113	3.0558	129.0531	SRR3664372	4.6628	124.3903
AT1G02720	Other	5671	99.96	12.3583	0.5756	12.3626	0.1282	11.6035	279.0613	SRR3664389	3.384	275.6773
AT1G02730	Canonical	5640	99.42	34.9034	0.5468	35.1076	0.0123	41.8854	724.6794	SRR5755227	4.6231	720.0563
AT1G02740	Canonical	5671	99.96	7.7806	0.4397	7.7833	0.0377	3.7275	40.0812	SRR5909363	4.9934	35.0878
AT1G02750	Canonical	5671	99.96	14.721	0.4618	14.7262	0.2103	9.0473	133.4114	SRR5227398	0.9474	132.464
AT1G02770	Canonical	5207	91.79	3.7449	0.8516	4.0801	0.0167	14.1435	267.0473	SRR5229953	6.6416	260.4057
AT1G02780	Canonical	5673	100	913.6901	0.2937	913.6901	4.907	645.5799	11734.9588	SRR1231506	1.6647	11733.2941
AT1G02790	Canonical	1227	21.63	38.6185	0.9613	178.5515	0.0073	896.0266	14254.6989	SRR3581852	0.7188	14253.9801
AT1G02800	Canonical	5096	89.83	7.442	0.7877	8.2846	0.0046	20.8217	257.5428	SRR2850579	8.063	249.4798
AT1G02810	Canonical	5347	94.25	11.9211	0.7567	12.6479	0.0103	28.6565	737.6795	SRR5469573	6.1379	731.5416
AT1G02813	Canonical	2057	36.26	8.6471	0.9684	23.8478	0.0191	240.5201	8118.3283	SRR3581857	6.9376	8111.3907
AT1G02816	Canonical	5672	99.98	26.088	0.4226	26.0926	0.7164	19.3581	211.7776	SRR2927368	0.5476	211.2301
AT1G02820	Canonical	5300	93.42	24.1145	0.7207	25.8116	0.0496	65.0535	1080.1189	SRR3165543	2.22	1077.8989
AT1G02830	Canonical	1818	32.05	0.2442	0.9535	0.7621	0.0279	1.3953	21.1718	SRR3581857	6.9376	14.2342
AT1G02840	Canonical	5673	100	83.1164	0.3228	83.1164	2.1118	52.1985	547.6545	SRR1976489	2.706	544.9485
AT1G02850	Canonical	5550	97.83	34.2695	0.5751	35.0289	0.0153	52.5269	568.1214	SRR3707606	7.0193	561.1021
AT1G02860	Other	5671	99.96	21.4502	0.49	21.4578	0.0438	23.5144	206.5914	SRR3724806	2.142	204.4494
AT1G02870	Canonical	5672	99.98	37.7098	0.4273	37.7164	0.1475	30.6037	396.4196	SRR5227401	1.4136	395.006
AT1G02880	Canonical	5672	99.98	20.0322	0.4497	20.0357	0.0984	12.9138	188.9879	SRR3664416	4.1458	184.8421
AT1G02890	Canonical	5673	100	34.7745	0.3627	34.7745	0.0124	19.8878	210.9731	SRR1773563	9.9314	201.0417
AT1G02900	Canonical	5470	96.42	50.3518	0.6519	52.2205	0.0259	96.1465	1917.8125	SRR3664422	4.1356	1913.6769
AT1G02910	Canonical	5673	100	39.4388	0.2769	39.4388	0.1021	18.3855	134.9076	SRR5444362	6.2451	128.6625
AT1G02920	Canonical	5350	94.31	220.0908	0.6094	233.3785	0.0354	632.421	10153.0227	SRR4293718	2.6309	10150.3918
AT1G02930	Canonical	5641	99.44	319.0271	0.5281	320.8369	0.0386	826.3015	12774.5491	SRR4293719	2.8765	12771.6726
AT1G02940	Canonical	4268	75.23	1.3999	0.8974	1.8607	0.009	6.0611	132.5944	SRR3581881	6.9131	125.6813
AT1G02950	Canonical	5477	96.55	11.8819	0.6049	12.3071	0.0153	15.9172	210.8349	SRR5826947	4.9684	205.8666
AT1G02960	Canonical	5673	100	13.8036	0.4447	13.8036	0.0348	7.2803	101.7697	ERR1698198	6.0933	95.6764
AT1G02965	Unobserved	1078	19	0.0602	0.9928	0.3168	0.0111	3.143	102.7549	ERR1698204	4.7257	98.0291
AT1G02970	Canonical	5585	98.45	3.6195	0.663	3.6765	0.0084	4.2192	40.1802	SRR1231507	0.7191	39.4611
AT1G02980	Canonical	3357	59.18	0.9133	0.961	1.5433	0.0046	10.2664	256.5856	SRR5229948	8.1855	248.4001
AT1G02990	Canonical	5673	100	10.1464	0.4405	10.1464	0.3084	5.5996	59.4118	SRR1773565	10.6749	48.7369
AT1G03000	Canonical	5671	99.96	13.7546	0.3375	13.7595	0.1111	5.3965	50.4412	ERR1698207	7.4333	43.0079
AT1G03010	Canonical	5077	89.49	1.3939	0.8023	1.5575	0.0062	2.2185	25.4134	SRR3664389	3.384	22.0294
AT1G03020	Other	4372	77.07	3.0305	0.8239	3.9323	0.0177	7.4816	197.728	SRR2037345	2.8384	194.8896
AT1G03030	Canonical	5671	99.96	15.4397	0.3721	15.4451	0.1539	6.9031	73.8873	SRR5239990	0.8058	73.0814
AT1G03040	Canonical	5673	100	36.4389	0.3162	36.4389	0.9821	19.0648	165.3091	ERR1698198	6.0933	159.2158
